Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-08-12 09:15:00+05:30,4232.0498046875,4233.7001953125,4223.25,4229.2998046875,0,0.0,0.0
2024-08-12 09:16:00+05:30,4229.35009765625,4234.39990234375,4224.2998046875,4226.0,7425,0.0,0.0
2024-08-12 09:17:00+05:30,4225.14990234375,4225.60009765625,4218.0498046875,4220.60009765625,7065,0.0,0.0
2024-08-12 09:18:00+05:30,4220.60009765625,4222.0,4213.5,4218.14990234375,10979,0.0,0.0
2024-08-12 09:19:00+05:30,4218.14990234375,4222.0,4212.89990234375,4215.14990234375,9109,0.0,0.0
2024-08-12 09:20:00+05:30,4215.85009765625,4217.0,4208.0498046875,4208.10009765625,3167,0.0,0.0
2024-08-12 09:21:00+05:30,4208.14990234375,4211.35009765625,4205.0498046875,4205.2998046875,6209,0.0,0.0
2024-08-12 09:22:00+05:30,4206.2001953125,4211.0,4205.2998046875,4208.7998046875,5977,0.0,0.0
2024-08-12 09:23:00+05:30,4209.5,4213.0,4208.7998046875,4213.0,4129,0.0,0.0
2024-08-12 09:24:00+05:30,4213.39990234375,4213.39990234375,4205.0,4205.0,4101,0.0,0.0
2024-08-12 09:25:00+05:30,4205.7001953125,4205.7001953125,4200.14990234375,4204.85009765625,11263,0.0,0.0
2024-08-12 09:26:00+05:30,4204.89990234375,4209.39990234375,4201.0,4202.14990234375,2832,0.0,0.0
2024-08-12 09:27:00+05:30,4202.14990234375,4202.2998046875,4196.7001953125,4197.7998046875,2065,0.0,0.0
2024-08-12 09:28:00+05:30,4197.39990234375,4203.85009765625,4197.39990234375,4201.85009765625,4830,0.0,0.0
2024-08-12 09:29:00+05:30,4201.89990234375,4201.89990234375,4197.89990234375,4198.9501953125,2677,0.0,0.0
2024-08-12 09:30:00+05:30,4198.9501953125,4202.60009765625,4198.14990234375,4200.7001953125,2910,0.0,0.0
2024-08-12 09:31:00+05:30,4200.7001953125,4204.89990234375,4200.7001953125,4204.25,2637,0.0,0.0
2024-08-12 09:32:00+05:30,4204.25,4205.5498046875,4204.25,4205.5498046875,0,0.0,0.0
2024-08-12 09:33:00+05:30,4204.85009765625,4205.89990234375,4202.75,4202.75,5637,0.0,0.0
2024-08-12 09:34:00+05:30,4203.2001953125,4203.64990234375,4201.85009765625,4201.85009765625,1404,0.0,0.0
2024-08-12 09:35:00+05:30,4201.60009765625,4203.14990234375,4201.14990234375,4203.14990234375,1992,0.0,0.0
2024-08-12 09:36:00+05:30,4202.89990234375,4204.4501953125,4202.89990234375,4203.2998046875,1485,0.0,0.0
2024-08-12 09:37:00+05:30,4203.2998046875,4204.85009765625,4203.2998046875,4204.39990234375,2481,0.0,0.0
2024-08-12 09:38:00+05:30,4204.4501953125,4204.85009765625,4202.7998046875,4202.7998046875,1877,0.0,0.0
2024-08-12 09:39:00+05:30,4202.0,4202.0,4200.0498046875,4200.7001953125,3197,0.0,0.0
2024-08-12 09:40:00+05:30,4200.64990234375,4201.9501953125,4200.64990234375,4201.7998046875,1676,0.0,0.0
